0	0.000+-0.000i
1	3.140+0.000i
2	6.273+0.000i
3	9.391+-0.000i
4	12.486+0.000i
5	15.551+0.000i
6	18.578+0.000i
7	21.561+0.000i
8	24.492+0.000i
9	27.364+0.000i
10	30.169+0.000i
11	32.903+0.000i
12	35.556+0.000i
13	38.125+0.000i
14	40.601+0.000i
15	42.980+0.000i
16	45.255+0.000i
17	47.421+0.000i
18	49.473+0.000i
19	51.405+0.000i
20	53.214+0.000i
21	54.895+0.000i
22	56.443+0.000i
23	57.855+0.000i
24	59.128+0.000i
25	60.259+0.000i
26	61.244+0.000i
27	62.082+0.000i
28	62.770+0.000i
29	63.307+0.000i
30	63.692+0.000i
31	63.923+0.000i
32	64.000+0.000i
33	63.923+0.000i
34	63.692+0.000i
35	63.307+0.000i
36	62.770+0.000i
37	62.082+0.000i
38	61.244+0.000i
39	60.259+0.000i
40	59.128+0.000i
41	57.855+0.000i
42	56.443+0.000i
43	54.895+0.000i
44	53.214+0.000i
45	51.405+0.000i
46	49.473+0.000i
47	47.421+0.000i
48	45.255+0.000i
49	42.980+0.000i
50	40.601+0.000i
51	38.125+0.000i
52	35.556+0.000i
53	32.903+0.000i
54	30.169+0.000i
55	27.364+0.000i
56	24.492+0.000i
57	21.561+0.000i
58	18.578+0.000i
59	15.551+0.000i
60	12.486+0.000i
61	9.391+0.000i
62	6.273+0.000i
63	3.140+0.000i
64	-0.000+0.000i
65	-3.140+0.000i
66	-6.273+0.000i
67	-9.391+0.000i
68	-12.486+0.000i
69	-15.551+0.000i
70	-18.578+0.000i
71	-21.561+0.000i
72	-24.492+0.000i
73	-27.364+0.000i
74	-30.169+0.000i
75	-32.903+0.000i
76	-35.556+0.000i
77	-38.125+0.000i
78	-40.601+0.000i
79	-42.980+0.000i
80	-45.255+0.000i
81	-47.421+0.000i
82	-49.473+0.000i
83	-51.405+0.000i
84	-53.214+0.000i
85	-54.895+0.000i
86	-56.443+0.000i
87	-57.855+0.000i
88	-59.128+0.000i
89	-60.259+0.000i
90	-61.244+0.000i
91	-62.082+0.000i
92	-62.770+0.000i
93	-63.307+0.000i
94	-63.692+0.000i
95	-63.923+0.000i
96	-64.000+0.000i
97	-63.923+0.000i
98	-63.692+0.000i
99	-63.307+0.000i
100	-62.770+0.000i
101	-62.082+0.000i
102	-61.244+0.000i
103	-60.259+0.000i
104	-59.128+0.000i
105	-57.855+0.000i
106	-56.443+0.000i
107	-54.895+0.000i
108	-53.214+0.000i
109	-51.405+0.000i
110	-49.473+0.000i
111	-47.421+0.000i
112	-45.255+0.000i
113	-42.980+0.000i
114	-40.601+0.000i
115	-38.125+0.000i
116	-35.556+0.000i
117	-32.903+0.000i
118	-30.169+0.000i
119	-27.364+0.000i
120	-24.492+0.000i
121	-21.561+0.000i
122	-18.578+0.000i
123	-15.551+0.000i
124	-12.486+0.000i
125	-9.391+0.000i
126	-6.273+0.000i
127	-3.140+0.000i
